date,country,total_cases,total_deaths,total_recovered,new_cases,new_cases_ma7
2023-01-09,USA,101315853,1096132,0,0.0,0.0
2023-01-10,USA,101399138,1097024,0,83285.0,41642.5
2023-01-11,USA,101538756,1098854,0,139618.0,74301.0
2023-01-12,USA,101603736,1099574,0,64980.0,71970.75
2023-01-13,USA,101637051,1099954,0,33315.0,64239.6
2023-01-14,USA,101642336,1100006,0,5285.0,54413.833333333336
2023-01-15,USA,101645654,1100023,0,3318.0,47114.42857142857
2023-01-16,USA,101653171,1100068,0,7517.0,48188.28571428572
2023-01-17,USA,101734426,1100812,0,81255.0,47898.28571428572
2023-01-18,USA,101863056,1102393,0,128630.0,46328.57142857143
2023-01-19,USA,101954244,1103712,0,91188.0,50072.57142857143
2023-01-20,USA,101991763,1104154,0,37519.0,50673.142857142855
2023-01-21,USA,101996891,1104178,0,5128.0,50650.71428571428
2023-01-22,USA,102000179,1104191,0,3288.0,50646.42857142857
2023-01-23,USA,102031232,1104505,0,31053.0,54008.71428571428
2023-01-24,USA,102086966,1105308,0,55734.0,50362.857142857145
2023-01-25,USA,102189274,1106676,0,102308.0,46602.57142857143
2023-01-26,USA,102253390,1107559,0,64116.0,42735.142857142855
2023-01-27,USA,102270311,1107661,0,16921.0,39792.57142857143
2023-01-28,USA,102274906,1107676,0,4595.0,39716.42857142857
2023-01-29,USA,102278398,1107690,0,3492.0,39745.57142857143
2023-01-30,USA,102307529,1107918,0,29131.0,39471.0
2023-01-31,USA,102362870,1108688,0,55341.0,39414.857142857145
2023-02-01,USA,102479379,1109996,0,116509.0,41443.57142857143
2023-02-02,USA,102561054,1111159,0,81675.0,43952.0
2023-02-03,USA,102599784,1111679,0,38730.0,47067.57142857143
2023-02-04,USA,102603942,1111696,0,4158.0,47005.142857142855
2023-02-05,USA,102606868,1111698,0,2926.0,46924.28571428572
2023-02-06,USA,102631179,1111890,0,24311.0,46235.71428571428
2023-02-07,USA,102676694,1112362,0,45515.0,44832.0
2023-02-08,USA,102760211,1113429,0,83517.0,40118.857142857145
2023-02-09,USA,102842061,1114385,0,81850.0,40143.857142857145
2023-02-10,USA,102855101,1114492,0,13040.0,36473.857142857145
2023-02-11,USA,102859510,1114529,0,4409.0,36509.71428571428
2023-02-12,USA,102862879,1114537,0,3369.0,36573.0
2023-02-13,USA,102886005,1114709,0,23126.0,36403.71428571428
2023-02-14,USA,102934224,1115160,0,48219.0,36790.0
2023-02-15,USA,103023231,1115741,0,89007.0,37574.28571428572
2023-02-16,USA,103083910,1116851,0,60679.0,34549.857142857145
2023-02-17,USA,103131898,1117572,0,47988.0,39542.42857142857
2023-02-18,USA,103134605,1117589,0,2707.0,39299.28571428572
2023-02-19,USA,103136077,1117590,0,1472.0,39028.28571428572
2023-02-20,USA,103138119,1117663,0,2042.0,36016.28571428572
2023-02-21,USA,103198669,1118025,0,60550.0,37777.857142857145
2023-02-22,USA,103308832,1118886,0,110163.0,40800.142857142855
2023-02-23,USA,103365511,1119521,0,56679.0,40228.71428571428
2023-02-24,USA,103378408,1119573,0,12897.0,35215.71428571428
2023-02-25,USA,103381157,1119587,0,2749.0,35221.71428571428
2023-02-26,USA,103382763,1119588,0,1606.0,35240.857142857145
2023-02-27,USA,103399827,1119582,0,17064.0,37386.857142857145
2023-02-28,USA,103443455,1119917,0,43628.0,34969.42857142857
2023-03-01,USA,103533872,1120897,0,90417.0,32148.571428571428
2023-03-02,USA,103589757,1121658,0,55885.0,32035.14285714286
2023-03-03,USA,103648690,1122165,0,58933.0,38611.71428571428
2023-03-04,USA,103650837,1122172,0,2147.0,38525.71428571428
2023-03-05,USA,103646975,1122134,0,0.0,38296.28571428572
2023-03-06,USA,103655539,1122181,0,8564.0,37082.0
2023-03-07,USA,103690910,1122516,0,35371.0,35902.42857142857
2023-03-08,USA,103755771,1123246,0,64861.0,32251.571428571428
2023-03-09,USA,103802702,1123836,0,46931.0,30972.428571428572
